x y
-1.1927 1.2621
0.7110 0.3808
0.4057 0.5385
0.9820 -0.8428
0.3480 1.6034
-1.0485 -1.4366
0.7714 1.1533
0.6749 -0.7175
1.1085 1.0996
0.6258 0.6301
-1.4425 -1.2350
0.8892 1.4395
0.9180 -1.2620
0.2939 -0.8314
0.4488 1.1773
0.5260 -0.9074
0.4494 0.9484
0.9870 -1.0541
1.3012 0.7267
1.3553 -1.0939
-1.7400 -1.2161
0.5164 -0.5603
0.9487 -0.5027
-1.1726 -1.0855
-0.9631 -1.1176
1.0916 0.7944
0.7360 0.4384
1.1650 1.0661
1.0039 -0.4342
-1.2253 -0.8320
-0.7318 -1.4223
1.0536 -1.1634
0.5526 -0.9899
0.9421 0.9012
0.4864 -0.5115
-1.3176 -1.0359
-1.2823 -0.7457
0.9683 -0.3847
-1.4740 -1.1645
0.4468 0.6058
-0.8585 -1.3174
1.2919 1.1643
-0.7658 -0.9126
0.8469 -0.9980
-1.2248 -0.4208
1.2794 0.5772
0.5494 0.8290
-1.0948 -0.5001
0.5098 1.1948
0.7891 -0.9497
0.9899 1.2587
-1.3374 -0.9026
0.6808 0.8883
0.9201 0.8771
1.2137 -1.3692
0.9402 0.9047
-1.3271 -1.1097
0.4755 -0.8195
0.7959 -0.3966
-0.8130 -0.9627
0.7398 0.9644
-0.9090 -0.3486
0.7313 -1.0386
0.5811 -0.7359
-1.0533 -1.0153
1.0502 -0.8595
1.5229 -0.8392
0.4904 -1.2211
0.6956 0.6394
0.5356 -0.8413
0.8401 -1.1853
0.3967 -1.1977
-1.8361 -0.7690
-0.5826 -1.1434
0.8023 0.9839
0.4440 0.7292
1.1456 -0.9730
0.4618 0.8411
0.2787 -0.7653
-0.6246 -1.2656
0.6141 -0.6431
-1.1652 -1.4214
1.1339 1.3022
-1.1863 -0.7198
0.8802 1.1723
0.3044 0.8405
0.8805 1.2857
0.2470 -0.6635
0.5278 1.0265
-0.1449 -0.8321
1.1135 -1.2478
0.9460 -0.8955
0.6091 1.3800
-1.2880 -0.8653
0.3854 1.2488
0.8035 0.8814
0.5639 -0.8364
1.1767 -1.2297
-1.0389 -1.1899
-0.5189 -0.7360
0.4171 -0.7920
0.3043 -0.3884
-1.0350 -0.7995
-0.6051 -0.5979
0.8137 -0.9317
1.5509 -1.5034
0.1294 -1.5526
0.7823 -1.2961
0.1231 1.0916
-1.3696 -1.1696
0.9414 -1.3720
0.7043 0.6885
0.5595 -0.2113
0.4775 -1.1856
0.6915 -1.3093
0.8158 1.0377
0.8755 -1.1118
1.1101 -1.6861
0.4253 0.9710
0.3663 -0.6260
-0.8624 -1.1171
1.3011 -1.1915
0.2138 -0.8616
0.4406 0.9721
-0.6015 -0.2960
0.9531 -0.6170
0.8294 1.0320
0.8288 0.9879
1.2580 -1.0709
1.0149 0.8167
0.2994 -0.8271
-1.4345 -0.5290
0.8522 1.0580
0.8744 1.1064
-1.0126 -0.9431
-1.4148 -1.3977
0.4013 1.2352
0.7602 1.5759
1.4179 -1.4036
0.4472 -0.9180
-1.4830 -1.1648
-1.7325 -1.0752
0.5231 -0.8921
1.1383 0.9247
0.8786 -0.7739
0.9268 -0.3175
0.1179 -0.2960
0.4402 -0.4671
1.4206 -0.8706
0.4406 1.6598
0.8149 0.7957
0.8391 -0.6444
0.8089 -1.5911
-1.0264 0.9160
0.5077 -0.6874
0.8348 0.6507
-1.1163 -1.5047
-1.2108 -0.5113
0.5917 -0.1297
0.5013 0.9874
0.8591 -0.6329
1.4612 -1.2000
-1.1830 -0.2597
0.8511 1.5380
-1.2653 -1.3929
-1.2612 -1.0521
0.6726 1.0314
0.4947 0.7878
0.7849 0.9270
0.5447 -1.3868
0.9081 -0.8873
-0.8521 -0.8797
0.6091 -0.7360
0.6239 1.0879
1.0632 -1.3798
-1.3814 0.8699
0.6176 1.1465
0.8361 1.0722
-1.1019 -0.6922
0.8840 1.6127
0.7104 1.0403
-1.7914 -0.7686
0.4406 0.9294
0.2261 -0.9772
0.9130 -1.0012
-1.6138 -0.7443
1.1896 0.9032
1.0879 -0.8952
0.6120 0.6321
-1.9556 -0.4943
0.8042 -0.2960
0.1847 -0.9110
0.7076 0.8689
0.2807 -0.4771
-1.2705 -1.3371
0.3674 1.2532
0.6277 -1.2300
-0.8330 -0.9175
-1.2781 -1.5375
-1.3186 -0.2960
0.6206 -0.4102
1.0582 -0.4521
0.5790 -1.5302
-0.8231 -0.7736
0.7341 -0.5482
1.0397 0.8884
-1.7833 -0.7873
0.6218 1.0036
0.8800 0.9365
0.7587 0.2195
-1.5778 -0.7798
-0.0248 1.4392
1.0922 -0.9670
0.4821 -0.9475
-1.3353 -1.2954
0.4769 1.0949
0.4180 1.0338
-1.1450 -0.8413
1.2138 1.1448
0.9057 1.1435
0.8312 0.6170
1.0236 -1.3538
-0.8821 -0.7129
0.5742 1.0806
0.0822 -1.5650
1.0943 1.2716
0.8493 -1.3979
0.4726 0.9838
0.9620 0.2853
-1.5080 -1.1776
0.9523 -1.2519
0.8692 0.4311
0.6898 -0.8798
0.2370 -0.0413
0.9709 1.1225
0.8671 -0.6123
1.2811 -0.5951
-1.5984 -0.9561
0.3570 1.2400
0.5272 1.3287
-0.6063 -0.9655
1.7325 1.0220
0.8838 -1.0516
0.5079 -0.8760
0.8451 0.7780
0.1731 1.1440
-2.2195 -0.9890
-0.8467 -0.9307
0.6724 -0.6362
-0.7620 -0.6886
1.1246 -0.9876
0.4406 -0.9899
-1.5267 -0.4566
1.3349 -0.8857
-1.1156 -0.6903
-1.3637 -0.6575
0.5058 -1.1739
1.1834 -1.3427
0.4641 -0.8438
0.5138 -0.7671
1.3412 0.7153
-1.3663 -0.8693
0.9559 0.9054
0.6910 -0.0888
0.1371 -0.8203
0.2936 1.3051
0.8926 0.8604
0.7963 0.9026
0.4120 -0.2960
0.7221 -0.6863
0.9777 -1.1566
0.6061 0.3657
1.1703 -0.7851
-1.6398 -0.9399
0.2544 0.6080
-1.5435 -1.5061
-0.8036 -1.1534
0.5612 0.7431
0.0634 -0.9954
0.6856 1.0027
1.1258 -0.8405
0.9192 -0.2960
0.2048 -1.1227
0.8909 1.0192
-1.1998 -1.3418
-1.0979 -0.2827
0.7231 -0.8400
1.1066 0.4599
0.8681 1.4468
0.9415 -0.4680
0.8179 -1.4762
