w1 w2 cost
-5.6444 1.2000 0.403962
-5.6444 1.3778 0.382213
-5.6444 1.5556 0.361697
-5.6444 1.7333 0.342379
-5.6444 1.9111 0.324225
-5.6444 2.0889 0.307205
-5.6444 2.2667 0.291294
-5.6444 2.4444 0.276471
-5.6444 2.6222 0.262719
-5.6444 2.8000 0.250030
-5.6444 2.9778 0.238398
-5.6444 3.1556 0.227824
-5.6444 3.3333 0.218311
-5.6444 3.5111 0.209865
-5.6444 3.6889 0.202493
-5.6444 3.8667 0.196202
-5.6444 4.0444 0.190998
-5.6444 4.2222 0.186891
-5.6444 4.4000 0.183888
-5.6444 4.5778 0.182001
-5.6444 4.7556 0.181242
-5.6444 4.9333 0.181623
-5.6444 5.1111 0.183161
-5.6444 5.2889 0.185871
-5.6444 5.4667 0.189772
-5.6444 5.6444 0.194880
-5.6444 5.8222 0.201210
-5.6444 6.0000 0.208778

-5.4667 -2.0000 1.012365
-5.4667 -1.8222 0.965038
-5.4667 -1.6444 0.918925
-5.4667 -1.4667 0.874081
-5.4667 -1.2889 0.830557
-5.4667 -1.1111 0.788404
-5.4667 -0.9333 0.747668
-5.4667 -0.7556 0.708392
-5.4667 -0.5778 0.670613
-5.4667 -0.4000 0.634359
-5.4667 -0.2222 0.599653
-5.4667 -0.0444 0.566507
-5.4667 0.1333 0.534923
-5.4667 0.3111 0.504895
-5.4667 0.4889 0.476407
-5.4667 0.6667 0.449434
-5.4667 0.8444 0.423945
-5.4667 1.0222 0.399902
-5.4667 1.2000 0.377264
-5.4667 1.3778 0.355987
-5.4667 1.5556 0.336026
-5.4667 1.7333 0.317337
-5.4667 1.9111 0.299880
-5.4667 2.0889 0.283615
-5.4667 2.2667 0.268508
-5.4667 2.4444 0.254529
-5.4667 2.6222 0.241655
-5.4667 2.8000 0.229867
-5.4667 2.9778 0.219156
-5.4667 3.1556 0.209514
-5.4667 3.3333 0.200938
-5.4667 3.5111 0.193431
-5.4667 3.6889 0.186993
-5.4667 3.8667 0.181628
-5.4667 4.0444 0.177341
-5.4667 4.2222 0.174139
-5.4667 4.4000 0.172032
-5.4667 4.5778 0.171031
-5.4667 4.7556 0.171149
-5.4667 4.9333 0.172403
-5.4667 5.1111 0.174811
-5.4667 5.2889 0.178392
-5.4667 5.4667 0.183164
-5.4667 5.6444 0.189148
-5.4667 5.8222 0.196361
-5.4667 6.0000 0.204818

-5.2889 -2.0000 0.993203
-5.2889 -1.8222 0.945095
-5.2889 -1.6444 0.898217
-5.2889 -1.4667 0.852626
-5.2889 -1.2889 0.808383
-5.2889 -1.1111 0.765545
-5.2889 -0.9333 0.724167
-5.2889 -0.7556 0.684299
-5.2889 -0.5778 0.645988
-5.2889 -0.4000 0.609269
-5.2889 -0.2222 0.574174
-5.2889 -0.0444 0.540721
-5.2889 0.1333 0.508921
-5.2889 0.3111 0.478772
-5.2889 0.4889 0.450263
-5.2889 0.6667 0.423372
-5.2889 0.8444 0.398068
-5.2889 1.0222 0.374312
-5.2889 1.2000 0.352059
-5.2889 1.3778 0.331259
-5.2889 1.5556 0.311860
-5.2889 1.7333 0.293811
-5.2889 1.9111 0.277058
-5.2889 2.0889 0.261555
-5.2889 2.2667 0.247257
-5.2889 2.4444 0.234124
-5.2889 2.6222 0.222126
-5.2889 2.8000 0.211235
-5.2889 2.9778 0.201434
-5.2889 3.1556 0.192708
-5.2889 3.3333 0.185051
-5.2889 3.5111 0.178458
-5.2889 3.6889 0.172927
-5.2889 3.8667 0.168458
-5.2889 4.0444 0.165056
-5.2889 4.2222 0.162728
-5.2889 4.4000 0.161485
-5.2889 4.5778 0.161339
-5.2889 4.7556 0.162308
-5.2889 4.9333 0.164410
-5.2889 5.1111 0.167666
-5.2889 5.2889 0.172097
-5.2889 5.4667 0.177726
-5.2889 5.6444 0.184574
-5.2889 5.8222 0.192657
-5.2889 6.0000 0.201993

-5.1111 -2.0000 0.975731
-5.1111 -1.8222 0.926862
-5.1111 -1.6444 0.879232
-5.1111 -1.4667 0.832906
-5.1111 -1.2889 0.787951
-5.1111 -1.1111 0.744431
-5.1111 -0.9333 0.702411
-5.1111 -0.7556 0.661949
-5.1111 -0.5778 0.623099
-5.1111 -0.4000 0.585908
-5.1111 -0.2222 0.550413
-5.1111 -0.0444 0.516643
-5.1111 0.1333 0.484614
-5.1111 0.3111 0.454334
-5.1111 0.4889 0.425794
-5.1111 0.6667 0.398976
-5.1111 0.8444 0.373851
-5.1111 1.0222 0.350377
-5.1111 1.2000 0.328506
-5.1111 1.3778 0.308181
-5.1111 1.5556 0.289343
-5.1111 1.7333 0.271930
-5.1111 1.9111 0.255879
-5.1111 2.0889 0.241133
-5.1111 2.2667 0.227637
-5.1111 2.4444 0.215340
-5.1111 2.6222 0.204203
-5.1111 2.8000 0.194191
-5.1111 2.9778 0.185277
-5.1111 3.1556 0.177442
-5.1111 3.3333 0.170672
-5.1111 3.5111 0.164959
-5.1111 3.6889 0.160297
-5.1111 3.8667 0.156688
-5.1111 4.0444 0.154133
-5.1111 4.2222 0.152643
-5.1111 4.4000 0.152229
-5.1111 4.5778 0.152908
-5.1111 4.7556 0.154699
-5.1111 4.9333 0.157624
-5.1111 5.1111 0.161706
-5.1111 5.2889 0.166971
-5.1111 5.4667 0.173441
-5.1111 5.6444 0.181138
-5.1111 5.8222 0.190083
-5.1111 6.0000 0.200288

-4.9333 -2.0000 0.960049
-4.9333 -1.8222 0.910447
-4.9333 -1.6444 0.862091
-4.9333 -1.4667 0.815051
-4.9333 -1.2889 0.769402
-4.9333 -1.1111 0.725214
-4.9333 -0.9333 0.682561
-4.9333 -0.7556 0.641510
-4.9333 -0.5778 0.602123
-4.9333 -0.4000 0.564456
-4.9333 -0.2222 0.528557
-4.9333 -0.0444 0.494462
-4.9333 0.1333 0.462197
-4.9333 0.3111 0.431774
-4.9333 0.4889 0.403192
-4.9333 0.6667 0.376436
-4.9333 0.8444 0.351478
-4.9333 1.0222 0.328274
-4.9333 1.2000 0.306773
-4.9333 1.3778 0.286911
-4.9333 1.5556 0.268621
-4.9333 1.7333 0.251829
-4.9333 1.9111 0.236465
-4.9333 2.0889 0.222457
-4.9333 2.2667 0.209740
-4.9333 2.4444 0.198255
-4.9333 2.6222 0.187950
-4.9333 2.8000 0.178784
-4.9333 2.9778 0.170721
-4.9333 3.1556 0.163736
-4.9333 3.3333 0.157811
-4.9333 3.5111 0.152934
-4.9333 3.6889 0.149099
-4.9333 3.8667 0.146305
-4.9333 4.0444 0.144556
-4.9333 4.2222 0.143865
-4.9333 4.4000 0.144245
-4.9333 4.5778 0.145716
-4.9333 4.7556 0.148300
-4.9333 4.9333 0.152024
-4.9333 5.1111 0.156912
-4.9333 5.2889 0.162991
-4.9333 5.4667 0.170287
-4.9333 5.6444 0.178823
-4.9333 5.8222 0.188616
-4.9333 6.0000 0.199684

-4.7556 -2.0000 0.946253
-4.7556 -1.8222 0.895957
-4.7556 -1.6444 0.846912
-4.7556 -1.4667 0.799193
-4.7556 -1.2889 0.752879
-4.7556 -1.1111 0.708049
-4.7556 -0.9333 0.664784
-4.7556 -0.7556 0.623159
-4.7556 -0.5778 0.583245
-4.7556 -0.4000 0.545110
-4.7556 -0.2222 0.508808
-4.7556 -0.0444 0.474385
-4.7556 0.1333 0.441877
-4.7556 0.3111 0.411301
-4.7556 0.4889 0.382665
-4.7556 0.6667 0.355955
-4.7556 0.8444 0.331145
-4.7556 1.0222 0.308192
-4.7556 1.2000 0.287038
-4.7556 1.3778 0.267615
-4.7556 1.5556 0.249845
-4.7556 1.7333 0.233646
-4.7556 1.9111 0.218935
-4.7556 2.0889 0.205630
-4.7556 2.2667 0.193654
-4.7556 2.4444 0.182939
-4.7556 2.6222 0.173422
-4.7556 2.8000 0.165052
-4.7556 2.9778 0.157790
-4.7556 3.1556 0.151604
-4.7556 3.3333 0.146472
-4.7556 3.5111 0.142379
-4.7556 3.6889 0.139319
-4.7556 3.8667 0.137292
-4.7556 4.0444 0.136304
-4.7556 4.2222 0.136370
-4.7556 4.4000 0.137507
-4.7556 4.5778 0.139737
-4.7556 4.7556 0.143087
-4.7556 4.9333 0.147584
-4.7556 5.1111 0.153257
-4.7556 5.2889 0.160134
-4.7556 5.4667 0.168241
-4.7556 5.6444 0.177602
-4.7556 5.8222 0.188235
-4.7556 6.0000 0.200154

-4.5778 -2.0000 0.934431
-4.5778 -1.8222 0.883497
-4.5778 -1.6444 0.833814
-4.5778 -1.4667 0.785463
-4.5778 -1.2889 0.738528
-4.5778 -1.1111 0.693095
-4.5778 -0.9333 0.649250
-4.5778 -0.7556 0.607079
-4.5778 -0.5778 0.566662
-4.5778 -0.4000 0.528073
-4.5778 -0.2222 0.491377
-4.5778 -0.0444 0.456631
-4.5778 0.1333 0.423876
-4.5778 0.3111 0.393139
-4.5778 0.4889 0.364433
-4.5778 0.6667 0.337750
-4.5778 0.8444 0.313063
-4.5778 1.0222 0.290329
-4.5778 1.2000 0.269487
-4.5778 1.3778 0.250462
-4.5778 1.5556 0.233168
-4.5778 1.7333 0.217514
-4.5778 1.9111 0.203406
-4.5778 2.0889 0.190750
-4.5778 2.2667 0.179459
-4.5778 2.4444 0.169453
-4.5778 2.6222 0.160661
-4.5778 2.8000 0.153026
-4.5778 2.9778 0.146501
-4.5778 3.1556 0.141050
-4.5778 3.3333 0.136648
-4.5778 3.5111 0.133279
-4.5778 3.6889 0.130938
-4.5778 3.8667 0.129626
-4.5778 4.0444 0.129352
-4.5778 4.2222 0.130132
-4.5778 4.4000 0.131987
-4.5778 4.5778 0.134944
-4.5778 4.7556 0.139030
-4.5778 4.9333 0.144276
-4.5778 5.1111 0.150712
-4.5778 5.2889 0.158369
-4.5778 5.4667 0.167274
-4.5778 5.6444 0.177448
-4.5778 5.8222 0.188910
-4.5778 6.0000 0.201673

-4.4000 -2.0000 0.924667
-4.4000 -1.8222 0.873162
-4.4000 -1.6444 0.822907
-4.4000 -1.4667 0.773987
-4.4000 -1.2889 0.726490
-4.4000 -1.1111 0.680508
-4.4000 -0.9333 0.636134
-4.4000 -0.7556 0.593459
-4.4000 -0.5778 0.552572
-4.4000 -0.4000 0.513557
-4.4000 -0.2222 0.476487
-4.4000 -0.0444 0.441427
-4.4000 0.1333 0.408427
-4.4000 0.3111 0.377522
-4.4000 0.4889 0.348729
-4.4000 0.6667 0.322046
-4.4000 0.8444 0.297447
-4.4000 1.0222 0.274889
-4.4000 1.2000 0.254309
-4.4000 1.3778 0.235625
-4.4000 1.5556 0.218745
-4.4000 1.7333 0.203568
-4.4000 1.9111 0.189990
-4.4000 2.0889 0.177909
-4.4000 2.2667 0.167225
-4.4000 2.4444 0.157850
-4.4000 2.6222 0.149705
-4.4000 2.8000 0.142726
-4.4000 2.9778 0.136861
-4.4000 3.1556 0.132070
-4.4000 3.3333 0.128328
-4.4000 3.5111 0.125618
-4.4000 3.6889 0.123934
-4.4000 3.8667 0.123281
-4.4000 4.0444 0.123670
-4.4000 4.2222 0.125120
-4.4000 4.4000 0.127654
-4.4000 4.5778 0.131303
-4.4000 4.7556 0.136096
-4.4000 4.9333 0.142067
-4.4000 5.1111 0.149247
-4.4000 5.2889 0.157667
-4.4000 5.4667 0.167355
-4.4000 5.6444 0.178331
-4.4000 5.8222 0.190613
-4.4000 6.0000 0.204212

-4.2222 -2.0000 0.917034
-4.2222 -1.8222 0.865041
-4.2222 -1.6444 0.814296
-4.2222 -1.4667 0.764887
-4.2222 -1.2889 0.716904
-4.2222 -1.1111 0.670444
-4.2222 -0.9333 0.625606
-4.2222 -0.7556 0.582485
-4.2222 -0.5778 0.541179
-4.2222 -0.4000 0.501778
-4.2222 -0.2222 0.464363
-4.2222 -0.0444 0.429008
-4.2222 0.1333 0.395769
-4.2222 0.3111 0.364689
-4.2222 0.4889 0.335790
-4.2222 0.6667 0.309074
-4.2222 0.8444 0.284518
-4.2222 1.0222 0.262080
-4.2222 1.2000 0.241693
-4.2222 1.3778 0.223274
-4.2222 1.5556 0.206724
-4.2222 1.7333 0.191935
-4.2222 1.9111 0.178795
-4.2222 2.0889 0.167191
-4.2222 2.2667 0.157017
-4.2222 2.4444 0.148175
-4.2222 2.6222 0.140581
-4.2222 2.8000 0.134165
-4.2222 2.9778 0.128870
-4.2222 3.1556 0.124656
-4.2222 3.3333 0.121495
-4.2222 3.5111 0.119371
-4.2222 3.6889 0.118280
-4.2222 3.8667 0.118227
-4.2222 4.0444 0.119226
-4.2222 4.2222 0.121299
-4.2222 4.4000 0.124474
-4.2222 4.5778 0.128780
-4.2222 4.7556 0.134251
-4.2222 4.9333 0.140923
-4.2222 5.1111 0.148827
-4.2222 5.2889 0.157995
-4.2222 5.4667 0.168452
-4.2222 5.6444 0.180221
-4.2222 5.8222 0.193315
-4.2222 6.0000 0.207744

-4.0444 -2.0000 0.911593
-4.0444 -1.8222 0.859211
-4.0444 -1.6444 0.808074
-4.0444 -1.4667 0.758272
-4.0444 -1.2889 0.709898
-4.0444 -1.1111 0.663049
-4.0444 -0.9333 0.617829
-4.0444 -0.7556 0.574339
-4.0444 -0.5778 0.532680
-4.0444 -0.4000 0.492947
-4.0444 -0.2222 0.455230
-4.0444 -0.0444 0.419606
-4.0444 0.1333 0.386140
-4.0444 0.3111 0.354880
-4.0444 0.4889 0.325853
-4.0444 0.6667 0.299064
-4.0444 0.8444 0.274495
-4.0444 1.0222 0.252104
-4.0444 1.2000 0.231826
-4.0444 1.3778 0.213575
-4.0444 1.5556 0.197249
-4.0444 1.7333 0.182736
-4.0444 1.9111 0.169917
-4.0444 2.0889 0.158673
-4.0444 2.2667 0.148890
-4.0444 2.4444 0.140466
-4.0444 2.6222 0.133311
-4.0444 2.8000 0.127351
-4.0444 2.9778 0.122527
-4.0444 3.1556 0.118797
-4.0444 3.3333 0.116132
-4.0444 3.5111 0.114516
-4.0444 3.6889 0.113947
-4.0444 3.8667 0.114432
-4.0444 4.0444 0.115987
-4.0444 4.2222 0.118636
-4.0444 4.4000 0.122409
-4.0444 4.5778 0.127338
-4.0444 4.7556 0.133460
-4.0444 4.9333 0.140809
-4.0444 5.1111 0.149418
-4.0444 5.2889 0.159319
-4.0444 5.4667 0.170535
-4.0444 5.6444 0.183088
-4.0444 5.8222 0.196988
-4.0444 6.0000 0.212244

-3.8667 -2.0000 0.908393
-3.8667 -1.8222 0.855734
-3.8667 -1.6444 0.804321
-3.8667 -1.4667 0.754240
-3.8667 -1.2889 0.705585
-3.8667 -1.1111 0.658456
-3.8667 -0.9333 0.612956
-3.8667 -0.7556 0.569190
-3.8667 -0.5778 0.527260
-3.8667 -0.4000 0.487266
-3.8667 -0.2222 0.449301
-3.8667 -0.0444 0.413446
-3.8667 0.1333 0.379770
-3.8667 0.3111 0.348326
-3.8667 0.4889 0.319145
-3.8667 0.6667 0.292237
-3.8667 0.8444 0.267587
-3.8667 1.0222 0.245158
-3.8667 1.2000 0.224885
-3.8667 1.3778 0.206685
-3.8667 1.5556 0.190457
-3.8667 1.7333 0.176085
-3.8667 1.9111 0.163448
-3.8667 2.0889 0.152424
-3.8667 2.2667 0.142896
-3.8667 2.4444 0.134757
-3.8667 2.6222 0.127914
-3.8667 2.8000 0.122291
-3.8667 2.9778 0.117828
-3.8667 3.1556 0.114479
-3.8667 3.3333 0.112218
-3.8667 3.5111 0.111027
-3.8667 3.6889 0.110906
-3.8667 3.8667 0.111864
-3.8667 4.0444 0.113918
-3.8667 4.2222 0.117094
-3.8667 4.4000 0.121425
-3.8667 4.5778 0.126944
-3.8667 4.7556 0.133688
-3.8667 4.9333 0.141692
-3.8667 5.1111 0.150990
-3.8667 5.2889 0.161611
-3.8667 5.4667 0.173578
-3.8667 5.6444 0.186907
-3.8667 5.8222 0.201610
-3.8667 6.0000 0.217690

-3.6889 -2.0000 0.907468
-3.6889 -1.8222 0.854662
-3.6889 -1.6444 0.803101
-3.6889 -1.4667 0.752870
-3.6889 -1.2889 0.704064
-3.6889 -1.1111 0.656779
-3.6889 -0.9333 0.611119
-3.6889 -0.7556 0.567187
-3.6889 -0.5778 0.525087
-3.6889 -0.4000 0.484916
-3.6889 -0.2222 0.446770
-3.6889 -0.0444 0.410730
-3.6889 0.1333 0.376868
-3.6889 0.3111 0.345238
-3.6889 0.4889 0.315876
-3.6889 0.6667 0.288796
-3.6889 0.8444 0.263988
-3.6889 1.0222 0.241419
-3.6889 1.2000 0.221032
-3.6889 1.3778 0.202748
-3.6889 1.5556 0.186469
-3.6889 1.7333 0.172083
-3.6889 1.9111 0.159470
-3.6889 2.0889 0.148508
-3.6889 2.2667 0.139080
-3.6889 2.4444 0.131078
-3.6889 2.6222 0.124408
-3.6889 2.8000 0.118992
-3.6889 2.9778 0.114769
-3.6889 3.1556 0.111693
-3.6889 3.3333 0.109736
-3.6889 3.5111 0.108883
-3.6889 3.6889 0.109132
-3.6889 3.8667 0.110494
-3.6889 4.0444 0.112989
-3.6889 4.2222 0.116643
-3.6889 4.4000 0.121491
-3.6889 4.5778 0.127566
-3.6889 4.7556 0.134906
-3.6889 4.9333 0.143546
-3.6889 5.1111 0.153518
-3.6889 5.2889 0.164848
-3.6889 5.4667 0.177558
-3.6889 5.6444 0.191661
-3.6889 5.8222 0.207164
-3.6889 6.0000 0.224070

-3.5111 -2.0000 0.908843
-3.5111 -1.8222 0.856029
-3.5111 -1.6444 0.804462
-3.5111 -1.4667 0.754227
-3.5111 -1.2889 0.705412
-3.5111 -1.1111 0.658113
-3.5111 -0.9333 0.612428
-3.5111 -0.7556 0.568457
-3.5111 -0.5778 0.526299
-3.5111 -0.4000 0.486049
-3.5111 -0.2222 0.447799
-3.5111 -0.0444 0.411630
-3.5111 0.1333 0.377610
-3.5111 0.3111 0.345795
-3.5111 0.4889 0.316223
-3.5111 0.6667 0.288912
-3.5111 0.8444 0.263860
-3.5111 1.0222 0.241042
-3.5111 1.2000 0.220408
-3.5111 1.3778 0.201889
-3.5111 1.5556 0.185395
-3.5111 1.7333 0.170824
-3.5111 1.9111 0.158060
-3.5111 2.0889 0.146987
-3.5111 2.2667 0.137490
-3.5111 2.4444 0.129463
-3.5111 2.6222 0.122814
-3.5111 2.8000 0.117464
-3.5111 2.9778 0.113352
-3.5111 3.1556 0.110432
-3.5111 3.3333 0.108675
-3.5111 3.5111 0.108066
-3.5111 3.6889 0.108604
-3.5111 3.8667 0.110301
-3.5111 4.0444 0.113177
-3.5111 4.2222 0.117260
-3.5111 4.4000 0.122584
-3.5111 4.5778 0.129184
-3.5111 4.7556 0.137096
-3.5111 4.9333 0.146353
-3.5111 5.1111 0.156985
-3.5111 5.2889 0.169016
-3.5111 5.4667 0.182464
-3.5111 5.6444 0.197338
-3.5111 5.8222 0.213643
-3.5111 6.0000 0.231376

-3.3333 -2.0000 0.912533
-3.3333 -1.8222 0.859858
-3.3333 -1.6444 0.808439
-3.3333 -1.4667 0.758353
-3.3333 -1.2889 0.709685
-3.3333 -1.1111 0.662524
-3.3333 -0.9333 0.616961
-3.3333 -0.7556 0.573088
-3.3333 -0.5778 0.530997
-3.3333 -0.4000 0.490777
-3.3333 -0.2222 0.452509
-3.3333 -0.0444 0.416270
-3.3333 0.1333 0.382126
-3.3333 0.3111 0.350128
-3.3333 0.4889 0.320317
-3.3333 0.6667 0.292717
-3.3333 0.8444 0.267330
-3.3333 1.0222 0.244144
-3.3333 1.2000 0.223122
-3.3333 1.3778 0.204207
-3.3333 1.5556 0.187326
-3.3333 1.7333 0.172386
-3.3333 1.9111 0.159285
-3.3333 2.0889 0.147915
-3.3333 2.2667 0.138169
-3.3333 2.4444 0.129947
-3.3333 2.6222 0.123158
-3.3333 2.8000 0.117725
-3.3333 2.9778 0.113587
-3.3333 3.1556 0.110699
-3.3333 3.3333 0.109031
-3.3333 3.5111 0.108570
-3.3333 3.6889 0.109313
-3.3333 3.8667 0.111273
-3.3333 4.0444 0.114470
-3.3333 4.2222 0.118933
-3.3333 4.4000 0.124695
-3.3333 4.5778 0.131788
-3.3333 4.7556 0.140249
-3.3333 4.9333 0.150106
-3.3333 5.1111 0.161387
-3.3333 5.2889 0.174113
-3.3333 5.4667 0.188295
-3.3333 5.6444 0.203940
-3.3333 5.8222 0.221048
-3.3333 6.0000 0.239612

-3.1556 -2.0000 0.918544
-3.1556 -1.8222 0.866162
-3.1556 -1.6444 0.815049
-3.1556 -1.4667 0.765275
-3.1556 -1.2889 0.716915
-3.1556 -1.1111 0.670051
-3.1556 -0.9333 0.624763
-3.1556 -0.7556 0.581132
-3.1556 -0.5778 0.539238
-3.1556 -0.4000 0.499158
-3.1556 -0.2222 0.460963
-3.1556 -0.0444 0.424719
-3.1556 0.1333 0.390485
-3.1556 0.3111 0.358309
-3.1556 0.4889 0.328233
-3.1556 0.6667 0.300282
-3.1556 0.8444 0.274472
-3.1556 1.0222 0.250801
-3.1556 1.2000 0.229248
-3.1556 1.3778 0.209776
-3.1556 1.5556 0.192329
-3.1556 1.7333 0.176834
-3.1556 1.9111 0.163205
-3.1556 2.0889 0.151348
-3.1556 2.2667 0.141167
-3.1556 2.4444 0.132571
-3.1556 2.6222 0.125473
-3.1556 2.8000 0.119801
-3.1556 2.9778 0.115495
-3.1556 3.1556 0.112511
-3.1556 3.3333 0.110819
-3.1556 3.5111 0.110404
-3.1556 3.6889 0.111267
-3.1556 3.8667 0.113417
-3.1556 4.0444 0.116875
-3.1556 4.2222 0.121668
-3.1556 4.4000 0.127828
-3.1556 4.5778 0.135385
-3.1556 4.7556 0.144371
-3.1556 4.9333 0.154814
-3.1556 5.1111 0.166734
-3.1556 5.2889 0.180147
-3.1556 5.4667 0.195062
-3.1556 5.6444 0.211480
-3.1556 5.8222 0.229394
-3.1556 6.0000 0.248792

-2.9778 -2.0000 0.926884
-2.9778 -1.8222 0.874949
-2.9778 -1.6444 0.824301
-2.9778 -1.4667 0.774999
-2.9778 -1.2889 0.727110
-2.9778 -1.1111 0.680702
-2.9778 -0.9333 0.635840
-2.9778 -0.7556 0.592593
-2.9778 -0.5778 0.551024
-2.9778 -0.4000 0.511194
-2.9778 -0.2222 0.473159
-2.9778 -0.0444 0.436973
-2.9778 0.1333 0.402685
-2.9778 0.3111 0.370338
-2.9778 0.4889 0.339971
-2.9778 0.6667 0.311618
-2.9778 0.8444 0.285301
-2.9778 1.0222 0.261034
-2.9778 1.2000 0.238816
-2.9778 1.3778 0.218632
-2.9778 1.5556 0.200448
-2.9778 1.7333 0.184215
-2.9778 1.9111 0.169869
-2.9778 2.0889 0.157335
-2.9778 2.2667 0.146533
-2.9778 2.4444 0.137381
-2.9778 2.6222 0.129804
-2.9778 2.8000 0.123734
-2.9778 2.9778 0.119115
-2.9778 3.1556 0.115902
-2.9778 3.3333 0.114069
-2.9778 3.5111 0.113599
-2.9778 3.6889 0.114492
-2.9778 3.8667 0.116758
-2.9778 4.0444 0.120416
-2.9778 4.2222 0.125490
-2.9778 4.4000 0.132008
-2.9778 4.5778 0.140000
-2.9778 4.7556 0.149490
-2.9778 4.9333 0.160502
-2.9778 5.1111 0.173052
-2.9778 5.2889 0.187148
-2.9778 5.4667 0.202793
-2.9778 5.6444 0.219983
-2.9778 5.8222 0.238706
-2.9778 6.0000 0.258943

-2.8000 -2.0000 0.937557
-2.8000 -1.8222 0.886220
-2.8000 -1.6444 0.836190
-2.8000 -1.4667 0.787517
-2.8000 -1.2889 0.740253
-2.8000 -1.1111 0.694451
-2.8000 -0.9333 0.650159
-2.8000 -0.7556 0.607428
-2.8000 -0.5778 0.566300
-2.8000 -0.4000 0.526819
-2.8000 -0.2222 0.489024
-2.8000 -0.0444 0.452953
-2.8000 0.1333 0.418643
-2.8000 0.3111 0.386132
-2.8000 0.4889 0.355458
-2.8000 0.6667 0.326657
-2.8000 0.8444 0.299763
-2.8000 1.0222 0.274805
-2.8000 1.2000 0.251804
-2.8000 1.3778 0.230769
-2.8000 1.5556 0.211693
-2.8000 1.7333 0.194554
-2.8000 1.9111 0.179314
-2.8000 2.0889 0.165922
-2.8000 2.2667 0.154318
-2.8000 2.4444 0.144435
-2.8000 2.6222 0.136210
-2.8000 2.8000 0.129583
-2.8000 2.9778 0.124503
-2.8000 3.1556 0.120930
