x y
2.710 407.601
3.511 618.884
3.911 399.606
3.514 594.809
6.296 384.176
7.922 571.493
8.202 379.992
-7.815 367.130
3.861 436.116
6.098 442.173
-4.879 380.876
-3.795 377.491
6.838 578.614
4.998 541.167
7.218 607.192
6.384 449.384
-5.151 407.539
-2.598 345.450
6.641 372.675
4.048 390.927
6.064 589.845
3.706 441.246
-5.629 386.086
-5.446 416.620
6.200 454.590
-6.438 372.561
3.501 558.769
-3.253 356.482
7.874 617.516
-2.774 399.058
5.571 390.077
-5.149 450.790
7.809 555.765
4.032 582.246
-4.476 442.451
3.827 620.727
5.272 395.154
6.311 627.451
-5.732 400.114
4.712 588.489
5.950 587.311
7.470 351.031
6.054 590.218
-5.678 378.326
3.650 408.849
5.307 453.330
-3.018 393.788
5.017 596.489
-3.515 458.381
4.973 385.811
4.196 417.642
-4.261 388.261
6.623 404.644
9.069 406.777
3.726 366.608
4.788 562.307
3.961 406.557
5.536 370.375
3.242 369.067
-8.312 414.165
-1.825 374.782
5.341 598.539
3.486 571.758
7.117 392.703
3.579 583.524
2.631 414.558
-2.043 361.928
4.367 427.412
-4.840 345.537
7.056 632.027
-4.950 419.340
5.744 618.363
2.764 583.465
5.745 630.286
2.467 425.265
3.920 603.020
0.439 407.522
6.951 363.806
6.084 400.856
4.341 640.208
-5.476 404.038
3.183 626.407
5.347 587.763
4.107 407.078
7.278 365.702
-4.187 369.895
-1.496 417.633
3.347 411.743
2.763 454.202
-4.166 410.958
-1.942 432.159
5.400 397.046
9.214 336.917
1.858 331.742
5.237 358.725
1.826 609.873
-5.898 372.031
6.060 350.734
4.833 567.467
4.084 472.825
3.660 370.345
4.767 357.328
5.410 604.206
5.719 378.107
6.933 317.698
3.390 597.185
3.084 429.207
-3.274 377.551
7.922 369.718
2.295 404.427
3.469 597.306
-1.923 463.918
6.121 430.157
5.481 603.600
5.478 598.964
7.699 382.403
6.440 580.956
2.738 408.050
-6.234 439.412
5.599 606.340
5.714 611.425
-4.051 395.853
-6.132 348.036
3.266 624.977
5.123 660.816
8.526 347.412
3.503 398.491
-6.485 372.535
-7.776 381.954
3.896 401.220
7.079 592.314
5.735 413.653
5.985 461.655
1.799 463.918
3.467 445.919
8.540 403.475
3.469 669.637
5.406 578.743
5.531 427.274
5.375 327.690
-4.122 591.404
3.816 422.751
5.509 563.495
-4.587 336.781
-5.076 441.274
4.251 481.407
3.783 598.908
5.635 428.483
8.750 368.833
-4.932 467.731
5.593 656.823
-5.358 348.535
-5.337 384.383
4.669 603.535
3.749 577.915
5.250 592.554
4.007 349.178
5.888 401.725
-3.220 402.516
4.341 417.640
4.417 609.484
6.690 349.915
-5.959 586.553
4.385 615.652
5.515 607.831
-4.513 422.238
5.763 664.687
4.865 604.481
-8.081 414.208
3.469 592.813
2.359 392.262
5.913 389.735
-7.161 416.767
7.345 590.059
6.818 400.894
4.356 561.543
-8.930 443.059
5.350 463.918
2.145 399.226
4.851 586.447
2.641 444.869
-5.385 354.408
3.090 626.872
4.437 365.677
-3.121 398.542
-5.424 333.328
-5.634 463.918
4.400 451.907
6.665 447.499
4.185 334.096
-3.070 413.682
4.988 437.388
6.569 588.502
-8.039 412.243
4.407 600.613
5.743 593.556
5.115 518.145
-6.975 413.023
1.061 646.434
6.841 393.336
3.684 395.386
-5.721 358.798
3.657 610.222
3.352 603.796
-4.736 406.558
7.470 615.469
5.876 615.335
5.490 559.955
6.486 352.647
-3.375 420.060
4.160 608.718
1.614 330.439
6.852 628.801
5.584 348.014
3.635 598.531
6.167 525.058
-6.614 371.189
6.117 363.371
5.687 540.401
4.759 402.513
2.415 490.703
6.213 613.125
5.676 430.644
7.818 432.452
-7.082 394.480
3.036 625.478
3.917 634.810
-1.948 393.491
10.154 602.556
5.762 384.442
3.817 402.910
5.562 576.889
2.085 615.389
-10.296 391.023
-3.192 397.151
4.668 428.134
-2.754 422.616
7.008 391.171
3.469 390.929
-6.711 447.029
8.097 401.887
-4.583 422.441
-5.867 425.894
3.806 371.579
7.312 353.817
3.590 406.292
3.848 414.360
8.129 570.287
-5.881 403.610
6.135 590.283
4.764 485.710
1.898 408.773
2.708 632.329
5.808 585.552
5.309 589.987
3.321 463.918
4.925 422.864
6.248 373.399
4.325 533.516
7.245 412.467
-7.296 396.184
2.505 559.002
-6.798 336.636
-2.969 373.729
4.093 573.219
1.517 390.349
4.736 600.520
7.014 406.640
5.945 463.918
2.249 376.959
5.799 602.254
-5.019 353.912
-4.492 465.318
4.931 406.700
6.915 543.431
5.681 647.239
6.061 445.828
5.421 339.775
