iter norme pente decalage
75 3.2623 1.0318 0.9621
76 3.2763 1.0314 0.9622
77 3.2902 1.0309 0.9622
78 3.3039 1.0305 0.9622
79 3.3174 1.0301 0.9623
80 3.3307 1.0297 0.9623
81 3.3439 1.0293 0.9623
82 3.3570 1.0289 0.9624
83 3.3698 1.0285 0.9624
84 3.3826 1.0281 0.9624
85 3.3952 1.0277 0.9625
86 3.4076 1.0274 0.9625
87 3.4199 1.0270 0.9625
88 3.4321 1.0267 0.9626
89 3.4441 1.0263 0.9626
90 3.4560 1.0260 0.9627
91 3.4678 1.0256 0.9627
92 3.4794 1.0253 0.9627
93 3.4909 1.0250 0.9628
94 3.5023 1.0247 0.9628
95 3.5136 1.0244 0.9628
96 3.5247 1.0241 0.9629
97 3.5358 1.0237 0.9629
98 3.5467 1.0235 0.9630
99 3.5575 1.0232 0.9630
100 3.5682 1.0229 0.9630
101 3.5788 1.0226 0.9631
102 3.5893 1.0223 0.9631
103 3.5997 1.0220 0.9632
104 3.6100 1.0218 0.9632
105 3.6202 1.0215 0.9632
106 3.6303 1.0212 0.9633
107 3.6403 1.0210 0.9633
108 3.6502 1.0207 0.9634
109 3.6600 1.0205 0.9634
110 3.6697 1.0202 0.9634
111 3.6793 1.0200 0.9635
112 3.6888 1.0197 0.9635
113 3.6983 1.0195 0.9636
114 3.7076 1.0192 0.9636
115 3.7169 1.0190 0.9636
116 3.7261 1.0188 0.9637
117 3.7352 1.0186 0.9637
118 3.7442 1.0183 0.9637
119 3.7531 1.0181 0.9638
120 3.7620 1.0179 0.9638
121 3.7708 1.0177 0.9639
122 3.7795 1.0175 0.9639
123 3.7881 1.0173 0.9639
124 3.7967 1.0170 0.9640
125 3.8052 1.0168 0.9640
126 3.8136 1.0166 0.9640
127 3.8219 1.0164 0.9641
128 3.8302 1.0162 0.9641
129 3.8384 1.0160 0.9642
130 3.8466 1.0159 0.9642
131 3.8546 1.0157 0.9642
132 3.8626 1.0155 0.9643
133 3.8706 1.0153 0.9643
134 3.8784 1.0151 0.9643
135 3.8862 1.0149 0.9644
136 3.8940 1.0147 0.9644
137 3.9017 1.0146 0.9644
138 3.9093 1.0144 0.9645
139 3.9169 1.0142 0.9645
140 3.9244 1.0141 0.9645
141 3.9318 1.0139 0.9646
142 3.9392 1.0137 0.9646
143 3.9465 1.0135 0.9647
144 3.9538 1.0134 0.9647
145 3.9610 1.0132 0.9647
146 3.9682 1.0131 0.9648
147 3.9753 1.0129 0.9648
148 3.9823 1.0127 0.9648
149 3.9893 1.0126 0.9649
150 3.9963 1.0124 0.9649
151 4.0032 1.0123 0.9649
152 4.0100 1.0121 0.9650
153 4.0168 1.0120 0.9650
154 4.0236 1.0118 0.9650
155 4.0302 1.0117 0.9651
156 4.0369 1.0115 0.9651
157 4.0435 1.0114 0.9651
158 4.0500 1.0113 0.9652
159 4.0565 1.0111 0.9652
160 4.0630 1.0110 0.9652
161 4.0694 1.0108 0.9652
162 4.0758 1.0107 0.9653
163 4.0821 1.0106 0.9653
164 4.0884 1.0104 0.9653
165 4.0946 1.0103 0.9654
166 4.1008 1.0102 0.9654
167 4.1069 1.0100 0.9654
168 4.1130 1.0099 0.9655
169 4.1191 1.0098 0.9655
170 4.1251 1.0097 0.9655
171 4.1311 1.0095 0.9655
172 4.1370 1.0094 0.9656
173 4.1429 1.0093 0.9656
174 4.1488 1.0092 0.9656
175 4.1546 1.0090 0.9657
176 4.1603 1.0089 0.9657
177 4.1661 1.0088 0.9657
178 4.1718 1.0087 0.9658
179 4.1774 1.0086 0.9658
180 4.1831 1.0085 0.9658
181 4.1887 1.0083 0.9658
182 4.1942 1.0082 0.9659
183 4.1997 1.0081 0.9659
184 4.2052 1.0080 0.9659
185 4.2106 1.0079 0.9659
186 4.2160 1.0078 0.9660
187 4.2214 1.0077 0.9660
188 4.2268 1.0076 0.9660
189 4.2321 1.0075 0.9661
190 4.2373 1.0074 0.9661
191 4.2426 1.0073 0.9661
192 4.2478 1.0071 0.9661
193 4.2529 1.0070 0.9662
194 4.2581 1.0069 0.9662
195 4.2632 1.0068 0.9662
196 4.2683 1.0067 0.9662
197 4.2733 1.0066 0.9663
198 4.2783 1.0065 0.9663
199 4.2833 1.0064 0.9663
200 4.2882 1.0063 0.9663
201 4.2932 1.0062 0.9664
202 4.2980 1.0062 0.9664
203 4.3029 1.0061 0.9664
204 4.3077 1.0060 0.9664
205 4.3125 1.0059 0.9665
206 4.3173 1.0058 0.9665
207 4.3220 1.0057 0.9665
208 4.3267 1.0056 0.9665
209 4.3314 1.0055 0.9666
210 4.3361 1.0054 0.9666
211 4.3407 1.0053 0.9666
212 4.3453 1.0052 0.9666
213 4.3499 1.0051 0.9667
214 4.3544 1.0051 0.9667
215 4.3590 1.0050 0.9667
216 4.3635 1.0049 0.9667
217 4.3679 1.0048 0.9668
218 4.3724 1.0047 0.9668
219 4.3768 1.0046 0.9668
220 4.3812 1.0045 0.9668
221 4.3855 1.0045 0.9668
222 4.3899 1.0044 0.9669
223 4.3942 1.0043 0.9669
224 4.3985 1.0042 0.9669
225 4.4027 1.0041 0.9669
226 4.4070 1.0041 0.9670
227 4.4112 1.0040 0.9670
228 4.4154 1.0039 0.9670
229 4.4196 1.0038 0.9670
230 4.4237 1.0037 0.9670
231 4.4278 1.0037 0.9671
232 4.4319 1.0036 0.9671
233 4.4360 1.0035 0.9671
234 4.4400 1.0034 0.9671
235 4.4441 1.0034 0.9671
236 4.4481 1.0033 0.9672
237 4.4521 1.0032 0.9672
238 4.4560 1.0031 0.9672
239 4.4600 1.0031 0.9672
240 4.4639 1.0030 0.9672
241 4.4678 1.0029 0.9673
242 4.4717 1.0028 0.9673
243 4.4755 1.0028 0.9673
244 4.4794 1.0027 0.9673
245 4.4832 1.0026 0.9673
246 4.4870 1.0026 0.9674
247 4.4907 1.0025 0.9674
248 4.4945 1.0024 0.9674
249 4.4982 1.0024 0.9674
250 4.5019 1.0023 0.9674
251 4.5056 1.0022 0.9675
252 4.5093 1.0022 0.9675
253 4.5129 1.0021 0.9675
254 4.5166 1.0020 0.9675
255 4.5202 1.0020 0.9675
256 4.5238 1.0019 0.9676
257 4.5274 1.0018 0.9676
258 4.5309 1.0018 0.9676
259 4.5345 1.0017 0.9676
260 4.5380 1.0016 0.9676
261 4.5415 1.0016 0.9676
262 4.5450 1.0015 0.9677
263 4.5484 1.0015 0.9677
264 4.5519 1.0014 0.9677
265 4.5553 1.0013 0.9677
266 4.5587 1.0013 0.9677
267 4.5621 1.0012 0.9678
268 4.5655 1.0011 0.9678
269 4.5688 1.0011 0.9678
270 4.5722 1.0010 0.9678
271 4.5755 1.0010 0.9678
272 4.5788 1.0009 0.9678
273 4.5821 1.0009 0.9679
274 4.5854 1.0008 0.9679
275 4.5886 1.0007 0.9679
276 4.5919 1.0007 0.9679
277 4.5951 1.0006 0.9679
278 4.5983 1.0006 0.9679
279 4.6015 1.0005 0.9680
280 4.6047 1.0005 0.9680
281 4.6078 1.0004 0.9680
282 4.6110 1.0003 0.9680
283 4.6141 1.0003 0.9680
284 4.6172 1.0002 0.9680
285 4.6203 1.0002 0.9681
286 4.6234 1.0001 0.9681
287 4.6265 1.0001 0.9681
288 4.6295 1.0000 0.9681
289 4.6325 1.0000 0.9681
290 4.6356 0.9999 0.9681
291 4.6386 0.9999 0.9681
292 4.6416 0.9998 0.9682
293 4.6445 0.9998 0.9682
294 4.6475 0.9997 0.9682
295 4.6504 0.9997 0.9682
296 4.6534 0.9996 0.9682
297 4.6563 0.9996 0.9682
298 4.6592 0.9995 0.9683
299 4.6621 0.9995 0.9683
300 4.6650 0.9994 0.9683
301 4.6678 0.9994 0.9683
302 4.6707 0.9993 0.9683
303 4.6735 0.9993 0.9683
304 4.6763 0.9992 0.9683
305 4.6791 0.9992 0.9684
306 4.6819 0.9991 0.9684
307 4.6847 0.9991 0.9684
308 4.6875 0.9990 0.9684
309 4.6902 0.9990 0.9684
310 4.6930 0.9989 0.9684
311 4.6957 0.9989 0.9684
312 4.6984 0.9988 0.9685
313 4.7011 0.9988 0.9685
314 4.7038 0.9987 0.9685
315 4.7065 0.9987 0.9685
316 4.7091 0.9986 0.9685
317 4.7118 0.9986 0.9685
318 4.7144 0.9986 0.9685
319 4.7171 0.9985 0.9686
320 4.7197 0.9985 0.9686
321 4.7223 0.9984 0.9686
322 4.7249 0.9984 0.9686
323 4.7275 0.9983 0.9686
324 4.7300 0.9983 0.9686
325 4.7326 0.9982 0.9686
326 4.7351 0.9982 0.9686
327 4.7376 0.9982 0.9687
328 4.7402 0.9981 0.9687
329 4.7427 0.9981 0.9687
330 4.7452 0.9980 0.9687
331 4.7476 0.9980 0.9687
332 4.7501 0.9980 0.9687
333 4.7526 0.9979 0.9687
334 4.7550 0.9979 0.9687
335 4.7575 0.9978 0.9688
336 4.7599 0.9978 0.9688
337 4.7623 0.9977 0.9688
338 4.7647 0.9977 0.9688
339 4.7671 0.9977 0.9688
340 4.7695 0.9976 0.9688
341 4.7719 0.9976 0.9688
342 4.7742 0.9975 0.9688
343 4.7766 0.9975 0.9689
344 4.7789 0.9975 0.9689
345 4.7813 0.9974 0.9689
346 4.7836 0.9974 0.9689
347 4.7859 0.9974 0.9689
348 4.7882 0.9973 0.9689
349 4.7905 0.9973 0.9689
350 4.7928 0.9972 0.9689
351 4.7950 0.9972 0.9690
352 4.7973 0.9972 0.9690
353 4.7995 0.9971 0.9690
354 4.8018 0.9971 0.9690
355 4.8040 0.9971 0.9690
356 4.8062 0.9970 0.9690
357 4.8084 0.9970 0.9690
358 4.8106 0.9969 0.9690
359 4.8128 0.9969 0.9690
360 4.8150 0.9969 0.9691
361 4.8172 0.9968 0.9691
362 4.8193 0.9968 0.9691
363 4.8215 0.9968 0.9691
364 4.8236 0.9967 0.9691
365 4.8257 0.9967 0.9691
366 4.8279 0.9967 0.9691
367 4.8300 0.9966 0.9691
368 4.8321 0.9966 0.9691
369 4.8342 0.9966 0.9692
370 4.8363 0.9965 0.9692
371 4.8383 0.9965 0.9692
372 4.8404 0.9965 0.9692
373 4.8425 0.9964 0.9692
374 4.8445 0.9964 0.9692
375 4.8466 0.9964 0.9692
376 4.8486 0.9963 0.9692
377 4.8506 0.9963 0.9692
378 4.8526 0.9963 0.9692
379 4.8546 0.9962 0.9693
380 4.8566 0.9962 0.9693
381 4.8586 0.9962 0.9693
382 4.8606 0.9961 0.9693
383 4.8626 0.9961 0.9693
384 4.8645 0.9961 0.9693
385 4.8665 0.9960 0.9693
386 4.8684 0.9960 0.9693
387 4.8704 0.9960 0.9693
388 4.8723 0.9959 0.9693
389 4.8742 0.9959 0.9694
390 4.8761 0.9959 0.9694
391 4.8781 0.9958 0.9694
392 4.8800 0.9958 0.9694
393 4.8818 0.9958 0.9694
394 4.8837 0.9958 0.9694
395 4.8856 0.9957 0.9694
396 4.8875 0.9957 0.9694
397 4.8893 0.9957 0.9694
398 4.8912 0.9956 0.9694
399 4.8930 0.9956 0.9695
400 4.8948 0.9956 0.9695
