x y cost
-0.8088 -1.4203 0.0010
1.0342 1.1659 0.0138
-1.5208 0.5808 0.0773
0.6895 -0.9422 0.0000
-1.1927 1.2621 3.0000
-0.9997 -1.0815 0.0064
0.5300 -0.9389 0.0001
0.4057 0.5385 0.0138
-1.4051 0.4803 0.1569
0.7620 -0.9128 0.0000
0.3480 1.6034 0.5190
1.0753 1.3805 0.0251
0.7304 -0.6384 0.0001
-1.0485 -1.4366 0.0022
-1.6010 -0.7591 0.1461
-1.4718 1.0988 0.0157
-1.2444 1.0678 0.0378
0.7441 0.9165 0.0159
-1.0142 1.4879 0.0197
1.1086 1.0996 0.0085
-1.3426 0.8204 0.0627
-0.7763 -1.0183 0.0037
-1.4425 -1.2350 0.0173
1.4479 1.2971 0.0053
0.6914 1.0961 0.0351
-1.0915 1.1590 0.0465
1.2383 -0.6121 0.0000
0.4562 -1.2364 0.0000
-1.0285 1.0374 0.0864
0.7719 -1.2438 0.0000
-1.2877 0.8347 0.0719
0.2940 -0.8314 0.0002
0.4406 -0.8070 0.0001
0.9771 0.5025 0.0017
0.5260 -0.9074 0.0001
0.5282 -1.5339 0.0000
0.6643 1.0333 0.0311
0.9870 -1.0541 0.0000
0.3096 0.6329 0.0265
0.9431 -1.2342 0.0000
1.3553 -1.0939 0.0000
-1.8168 -0.2960 0.4732
-1.6412 1.0167 0.0116
0.5164 -0.5603 0.0002
0.3636 0.7128 0.0289
0.4866 -0.2960 0.0006
-1.1726 -1.0855 0.0115
0.6392 0.8627 0.0189
-0.8934 -0.5625 0.0267
1.0916 0.7944 0.0031
1.5351 -1.3659 0.0000
0.4747 1.1349 0.0829
0.7360 0.4384 0.0031
-1.3624 -1.2218 0.0138
0.6222 0.7026 0.0115
1.1651 1.0661 0.0063
-1.4658 -1.1487 0.0252
0.5900 1.1094 0.0518
-1.2253 -0.8320 0.0328
-0.9010 1.4319 0.0351
0.2116 1.0864 0.1666
0.4099 0.4313 3.0000
-1.5383 -0.6023 0.1974
-0.9494 1.1360 0.0809
-1.2343 0.9651 0.0554
0.8636 -1.0974 0.0000
-1.4129 0.8315 0.0477
-1.3650 -0.2960 1.3559
0.3601 1.3456 0.2365
1.2824 0.8662 0.0021
0.9421 0.9012 0.0076
0.4406 1.4694 0.2703
0.2769 -1.2676 0.0000
-1.3176 -1.0359 0.0224
-0.0413 -0.4001 0.0025
0.6252 -0.7974 0.0001
0.9684 -0.3847 0.0001
-1.0470 -1.0704 0.0079
0.6974 -0.6902 0.0001
0.4469 0.6058 0.0151
0.9641 0.8768 0.0065
-1.1933 1.3473 0.0173
-0.8585 -1.3174 0.0017
-1.3806 -1.0391 0.0274
0.9860 0.9393 0.0075
-0.7658 -0.9126 0.0051
0.2608 -0.6303 0.0004
-1.5983 0.6469 0.0477
-1.2248 -0.4208 0.1299
0.4406 -0.2214 0.0009
0.6748 -1.1566 0.0000
0.5494 0.8290 0.0229
-1.3128 -1.2202 0.0117
0.3493 0.9835 0.0759
0.5098 1.1948 0.0901
-1.1162 -1.0196 0.0119
0.2566 1.5231 0.5340
0.9899 1.2587 0.0222
0.6635 1.1202 0.0419
1.1133 0.7111 0.0022
0.6808 0.8883 0.0179
1.1922 0.5486 0.0009
0.9052 -0.8074 0.0000
0.9201 0.8771 0.0076
0.5877 1.1736 2.7689
0.2171 -0.6102 0.0005
-1.3954 0.8686 0.0446
0.7485 0.9592 0.0181
-1.1326 0.7776 0.1442
-1.3271 -1.1097 0.0179
0.5932 -1.0488 0.0000
0.4782 0.6303 0.0147
-0.8301 1.1849 0.1020
-1.5217 -1.1127 0.0345
-1.5833 -0.9088 0.0844
-0.8130 -0.9627 0.0051
-1.1767 0.7352 0.1436
0.8918 1.4027 0.0505
-0.9090 -0.3486 0.0582
-1.0656 -0.8662 0.0169
-1.5295 0.8772 0.0275
0.7313 -1.0386 0.0000
0.2088 -0.4172 0.0010
0.7393 -0.9937 0.0000
-0.6578 0.9816 0.3322
0.1895 1.3970 0.4540
0.7171 -1.3362 0.0000
1.0502 -0.8595 0.0000
0.8141 -1.3136 0.0000
-1.3198 1.0419 0.0320
0.4904 -1.2211 0.0000
0.7572 -0.9842 0.0000
0.3376 -1.5810 0.0000
0.6956 0.6394 0.0072
1.1546 -1.4830 0.0000
-1.4683 0.9437 0.0270
0.8401 -1.1853 0.0000
1.2497 0.5488 0.0008
0.6612 1.2060 0.0565
0.4406 1.0885 2.5707
-1.2853 -1.3373 0.0071
-1.4460 -0.6631 0.1209
-1.8361 -0.7690 0.2944
1.1268 0.8100 0.0029
0.8545 -1.0529 0.0000
0.8023 0.9839 0.0164
0.5188 1.3782 0.1593
0.9169 1.0699 0.0149
-0.6883 1.3636 0.0901
1.3387 1.1287 0.0043
-1.1435 0.9314 0.0840
0.4440 0.7292 0.0233
-1.5773 -1.1367 0.0384
0.3640 0.8603 0.0477
0.4618 0.8411 0.0321
-1.8626 -0.7715 0.3162
-1.0745 1.0256 0.0772
-0.6246 -1.2656 0.0009
-1.0563 -1.3514 0.0031
-1.1885 -0.5609 0.0726
-1.1652 -1.4214 0.0035
0.9320 0.8466 0.0065
0.3354 -0.5691 3.0000
-1.1863 -0.7198 0.0422
0.8108 -0.5888 0.0001
0.6639 -0.9043 0.0000
0.3044 0.8405 0.0546
-1.4037 0.6240 0.0986
0.5762 0.6232 0.0103
0.2471 -0.6635 0.0004
0.7327 -0.6724 0.0001
0.7289 1.0907 0.0304
-0.1449 -0.8321 0.0008
-0.5607 -0.7537 0.0044
0.4961 -0.7044 0.0001
1.1136 -1.2478 0.0000
0.9018 -0.8583 0.0000
1.4335 1.1470 0.0033
0.6091 1.3800 0.1197
-1.3125 -0.8401 0.0429
-0.6227 -1.3487 0.0007
0.3854 1.2488 0.1610
-1.0292 1.7508 0.0076
-0.7995 1.1342 0.1330
0.5639 -0.8364 0.0001
-1.0933 -0.8277 0.0212
-0.7982 1.7106 0.0192
-1.0388 -1.1899 0.0051
0.8012 -0.2960 0.0002
1.0515 -1.0645 0.0000
0.4171 -0.7920 0.0001
0.6020 1.0661 0.0429
0.4406 1.5172 1.3164
0.3043 -0.3884 0.0008
-1.0242 1.2288 0.0461
-1.0241 -1.2656 0.0037
-1.0350 -0.7995 0.0192
-0.8846 -0.6983 0.0162
0.6472 -0.9629 0.0000
-1.0339 1.4864 0.0185
0.9633 0.8077 0.0051
1.2282 -0.9971 0.0000
-0.8038 1.2318 0.0953
0.5865 -0.6568 0.0001
-0.9896 -0.9254 0.0106
1.5509 -1.5034 0.0000
-0.7899 1.1386 0.1353
0.8851 -0.2960 0.0001
-1.4420 0.5545 0.1093
0.3759 1.0361 0.0828
0.4406 -0.8762 0.0001
-1.1406 0.6972 0.1819
-1.1148 0.9010 0.1022
-0.8395 -0.8424 0.0085
0.7823 -1.2961 0.0000
-1.2071 1.3961 0.0139
1.2009 -1.0377 0.0000
-1.3696 -1.1696 0.0169
0.5888 -0.2960 0.0004
0.5725 0.9766 0.0350
0.9414 -1.3720 0.0000
0.7508 0.7714 0.0094
-1.7467 0.9296 0.0109
-0.5039 1.5420 0.0916
0.6190 -0.4740 0.0002
0.8640 -1.0056 0.0000
-1.1985 1.2108 0.0271
0.3882 -0.7553 0.0002
-1.3510 -1.4213 0.0066
0.5595 -0.2113 0.0006
-0.8060 1.1996 0.1051
0.4502 -0.2604 0.0007
0.6915 -1.3093 0.0000
-0.9152 0.9685 0.1566
0.8201 -1.1922 0.0000
0.8755 -1.1118 0.0000
-0.9222 1.3086 0.0496
1.0218 -0.8665 0.0000
0.4254 0.9710 0.0564
-1.5624 0.6724 0.0494
-1.3362 -0.7046 0.0734
-0.8918 1.4008 0.0402
0.6726 1.5611 0.1752
0.9148 1.0513 0.0141
0.3663 -0.6260 0.0003
0.1419 0.6194 0.0446
0.4916 1.6062 0.3495
-0.8624 -1.1171 0.0035
-0.1471 1.1104 0.5188
1.1839 1.7599 0.0632
-1.9041 0.4335 0.0350
0.5107 -0.7997 0.0001
0.7766 0.9701 0.0171
0.4406 0.9721 0.0538
-2.1785 -1.1308 0.2764
0.6282 -0.2490 0.0004
-0.9962 1.2265 0.0511
0.2982 -0.3725 0.0009
0.9172 -1.1877 0.0000
-1.1104 0.9605 0.0851
0.4363 -0.5454 0.0003
0.9057 1.1750 0.0222
0.8294 1.0320 0.0176
0.8316 0.6608 0.0049
0.6761 0.7879 0.0129
0.8288 0.9879 0.0152
0.7055 0.7636 0.0107
-1.1017 -0.5060 0.0653
1.0149 0.8167 0.0044
-0.4806 -0.8158 0.0027
0.9711 0.8218 0.0052
0.2994 -0.8271 0.0002
0.2973 1.1743 0.1680
-1.5728 0.7050 0.0427
0.8522 1.0580 0.0178
0.7973 -0.9463 0.0000
1.0464 1.2117 0.0156
-1.0126 -0.9431 0.0108
1.2189 -0.8245 0.0000
0.3238 0.6064 0.0230
0.4013 1.2352 0.1465
-1.3318 0.8273 0.0636
0.7025 1.2256 0.0525
-0.5211 1.1944 0.2639
0.6851 1.1117 0.0379
0.7980 -1.7333 0.0000
0.4472 -0.9180 0.0001
0.8712 -1.5830 0.0000
0.6623 -1.4964 0.0000
-1.7325 -1.0752 0.0795
0.6354 1.6786 0.2832
1.3959 -1.0978 0.0000
1.1383 0.9247 0.0042
-0.7052 -0.7055 0.0086
-0.5697 0.6014 1.0977
0.9268 -0.3175 0.0001
-1.4259 1.1896 0.0134
0.6782 0.7655 0.0118
0.4402 -0.4671 0.0004
1.6916 -1.1624 0.0000
0.7463 1.4397 0.0930
0.4406 1.6598 0.4705
-1.1384 -0.8493 0.0230
0.4000 0.4860 0.0117
0.8149 0.7957 0.0082
0.9715 -1.7410 0.0000
0.3871 1.5227 0.3710
0.8089 -1.5911 0.0000
0.3770 -0.5664 0.0003
0.3571 -1.6612 0.0000
0.5077 -0.6874 0.0001
-1.6179 -0.7540 0.1568
-1.5561 0.8616 0.0265
-1.1163 -1.5047 0.0022
-1.0606 1.1026 0.0625
-1.4080 -1.0458 0.0294
-1.2108 -0.5113 0.0922
-0.7145 -0.8401 0.0055
0.3402 -0.9801 0.0001
-1.2790 0.8276 0.0757
1.1978 0.5992 0.0011
0.4636 1.6382 0.4153
0.8591 -0.6329 0.0000
-1.6992 -1.0398 0.0801
1.1054 0.7879 0.0029
-0.9585 1.2986 0.0454
0.2086 -1.4160 0.0000
-1.6061 -1.2149 0.0324
0.8511 1.5380 0.0911
-1.3653 0.5436 0.1453
0.8275 1.0583 0.0194
-1.2653 -1.3929 0.0055
0.7984 -1.4058 0.0000
-1.4200 0.6881 0.0755
0.6726 1.0314 0.0300
0.9497 1.6796 0.1052
-0.8414 1.4360 0.0423
0.7849 0.9270 0.0143
0.4915 -0.8746 0.0001
0.3814 0.9696 0.0651
0.9081 -0.8873 0.0000
0.7504 -0.8533 0.0000
-1.2439 -0.2960 0.2058
0.6091 -0.7360 0.0001
0.3644 -1.1124 0.0001
-1.8225 0.8157 0.0125
1.0632 -1.3798 0.0000
-1.2302 -0.9147 0.0252
1.0662 1.1243 0.0107
0.6176 1.1465 0.0535
0.7762 0.9394 0.0154
-0.1698 -0.3691 0.0043
-1.1019 -0.6922 0.0348
0.8646 -0.8143 0.0000
0.9357 0.6545 0.0033
0.7104 1.0403 0.0272
-1.3892 -1.1300 0.0207
1.2057 -0.7533 0.0000
-1.7914 -0.7686 0.2576
0.4406 -1.3833 0.0000
-1.3646 -1.0860 0.0221
0.4406 0.9294 0.0466
-0.9891 -0.7281 0.0209
-1.7376 -0.4984 0.4842
0.9130 -1.0012 0.0000
-1.5175 0.4409 0.1240
-0.6400 -0.8316 0.0044
1.1897 0.9032 0.0033
-1.2278 1.1588 0.0293
0.5528 -0.6573 0.0001
0.6120 0.6321 0.0094
1.0891 -0.6997 0.0000
0.4301 -0.5042 0.0003
0.8042 -0.2960 0.0002
0.0892 -0.4725 0.0012
0.4483 0.7169 0.0220
0.7076 0.8689 0.0153
0.4124 -0.6844 0.0002
0.8258 -1.2699 0.0000
-1.2705 -1.3371 0.0067
1.6042 0.8954 0.0008
0.7517 0.6347 0.0058
0.6277 -1.2300 0.0000
0.2348 -0.6445 0.0004
-1.7721 -0.8370 0.1962
-1.2781 -1.5375 0.0035
1.1804 -1.1888 0.0000
0.4547 -0.9922 0.0001
-1.3186 -0.2960 0.2591
0.9055 -1.3121 0.0000
2.0145 -1.7796 0.0000
1.0582 -0.4521 0.0000
0.8360 1.3012 0.0433
0.2041 1.0142 0.1353
-0.8231 -0.7736 0.0101
0.5829 -0.2960 0.0004
0.8694 0.6237 0.0037
1.0397 0.8884 0.0052
-1.1969 -1.0700 0.0132
0.4988 0.7970 0.0243
0.6218 1.0036 0.0325
0.5880 2.3800 1.6849
-1.1199 -0.6255 0.0464
0.7587 0.2195 0.0014
-1.5608 0.9562 0.0189
0.6914 -0.9845 0.0000
-0.0248 1.4392 0.8731
0.6741 0.1448 0.0014
0.8296 -1.4261 0.0000
0.4821 -0.9475 0.0001
1.1754 -1.0090 0.0000
-0.9823 -0.7749 0.0174
0.4406 0.6783 3.0000
0.9472 -0.2960 0.0001
1.2467 -0.2960 0.0000
0.4769 1.0949 0.0720
-1.0631 1.4766 0.0173
-1.1222 1.1257 0.0470
0.4180 1.0338 0.0714
0.3462 1.1730 0.1430
1.4363 0.7338 0.0008
1.2138 1.1448 0.0069
-0.7257 -0.7433 0.0081
0.0618 -0.3380 0.0022
0.8312 0.6170 0.0042
-1.5869 -1.2857 0.0238
-1.4359 0.9493 0.0296
-0.8821 -0.7129 0.0153
0.8364 1.4304 0.0668
1.0327 -0.7823 0.0000
0.0822 -1.5650 0.0000
-0.8074 1.0099 0.1932
0.7835 -1.4037 0.0000
-1.0003 0.9126 0.1427
0.7883 1.2085 0.0371
0.4117 -1.0372 0.0001
0.4726 0.9838 0.0503
-1.5048 0.7832 0.0412
0.6313 0.9739 0.0284
-1.5080 -1.1776 0.0264
0.4406 0.7952 3.0000
0.4348 0.8345 0.0344
0.9524 -1.2519 0.0000
0.5963 -0.8571 0.0001
0.8980 0.7858 0.0060
0.6899 -0.8798 0.0000
0.9646 0.4222 0.0013
-0.7152 1.5954 0.0377
0.9709 1.1225 0.0148
0.9690 1.0203 0.0105
0.1865 1.3196 0.3674
1.2811 -0.5951 0.0000
-1.2956 0.8249 0.0723
-1.1528 -0.8889 0.0211
-1.1556 1.1872 0.0340
-0.9439 1.1227 0.0861
1.0421 -1.0069 0.0000
-1.4618 0.9411 0.0278
-0.7656 -0.8788 0.0058
0.4406 1.1064 0.0844
-0.6063 -0.9655 0.0025
0.8111 0.9164 0.0126
0.3891 -0.3018 0.0008
0.8838 -1.0516 0.0000
-1.3689 -0.9885 0.0313
0.9393 -0.5249 0.0001
0.8451 0.7780 0.0070
-1.2141 -0.5951 0.0705
0.2820 -1.4233 0.0000
-1.1467 0.6545 0.2042
-1.5078 -1.1161 0.0325
0.7877 -0.5395 0.0001
-0.8723 1.4567 0.0355
0.5922 -0.2960 0.0004
0.5194 1.3862 0.1631
0.5112 -0.5214 3.0000
0.4866 1.2068 2.3407
0.9990 0.7370 0.0036
-0.8467 -0.9307 0.0064
1.0828 1.0315 0.0074
0.1088 -0.6460 0.0006
-1.2915 0.8582 0.0656
1.3590 0.8533 0.0015
-0.9372 0.7957 0.2516
1.1246 -0.9876 0.0000
0.8574 -0.2921 0.0002
0.6293 -1.5845 0.0000
-1.5267 -0.4566 0.2983
-1.2000 -0.9796 0.0182
-1.0226 1.2243 0.0471
-1.1156 -0.6903 0.0367
0.7753 0.7857 0.0091
-1.4161 -0.9288 0.0451
0.5058 -1.1739 0.0000
0.1569 1.5668 0.7697
0.8937 -1.2147 0.0000
0.4641 -0.8438 0.0001
1.0618 1.1185 0.0107
-1.1881 1.1099 0.0396
1.3413 0.7153 0.0010
0.7807 -0.1879 0.0003
1.0849 -0.3605 0.0001
0.9559 0.9054 0.0074
0.8334 0.5473 0.0033
1.0850 -1.2113 0.0000
0.6910 -0.0888 0.0006
-1.7230 -1.0159 0.0938
0.5809 -0.7794 0.0001
0.2936 1.3051 0.2559
0.4667 0.7628 0.0242
0.7359 -0.1287 0.0004
0.8926 0.8604 0.0078
-0.7120 1.4302 0.0667
0.7255 1.1971 0.0441
0.4120 -0.2960 0.0008
0.7368 -1.3057 0.0000
0.9526 -1.4418 0.0000
0.9777 -1.1566 0.0000
-1.4480 -1.0375 0.0347
0.5376 1.2595 0.1018
1.1703 -0.7851 0.0000
0.4815 1.0015 0.0518
0.7127 -1.4484 0.0000
0.2544 0.6080 0.0293
0.6367 -0.9589 0.0000
0.8038 -0.8234 0.0000
-0.8036 -1.1534 0.0025
-0.9894 -0.7265 0.0211
0.6119 0.9247 0.0256
-0.9352 1.3762 0.0377
0.8917 1.0361 0.0144
1.0269 1.1967 0.0158
0.6856 1.0027 0.0260
0.4224 0.8820 0.0422
0.3661 1.1860 0.1400
-1.3926 0.9550 0.0336
0.9898 1.2174 0.0192
0.2983 -0.2960 0.0011
0.2048 -1.1227 0.0001
0.9998 0.8642 0.0055
0.2114 1.3772 0.4038
-1.4361 1.1948 0.0127
0.6699 -0.9991 0.0000
0.9873 0.8056 0.0047
-1.0979 -0.2827 0.1350
-1.8513 -1.1813 0.0828
-0.6566 -0.2960 0.0296
1.1066 0.4599 0.0009
-0.7998 1.2264 0.0982
0.8292 -0.2577 0.0002
0.9416 -0.4680 0.0001
0.4356 -1.0610 0.0000
